ubicacionID,name,site
10,COLGANTE 1,farmacia
11,COLGANTE 2,farmacia
2,GABETERO 1 GAVETA 1,farmacia
15,GABETERO 1 GAVETA 2,farmacia
16,GABETERO 1  GAVETA 3,farmacia
17,GABETERO 1  GAVETA 4,farmacia
18,GABETERO 1 GAVETA 5,farmacia
19,GABETERO 1 GAVETA 6,farmacia
20,GABETERO 1 GAVETA 7,farmacia
21,GABETERO 1 GAVETA 8,farmacia
22,GABETERO 1 GAVETA 9,farmacia
23,GABETERO 1 GAVETA 10,farmacia
24,GABETERO 1 GAVETA 11,farmacia
25,GABETERO 1 GAVETA 12,farmacia
26,GABETERO 1 GAVETA 13,farmacia
27,GABETERO 1 GAVETA 14,farmacia
28,GABETERO 1 GAVETA 15,farmacia
29,GABETERO 1 GAVETA 16,farmacia
31,GABETERO 1 GAVETA 17,farmacia
32,GABETERO 1 GAVETA 18,farmacia
33,GABETERO 1 GAVETA 19,farmacia
34,GABETERO 1 GAVETA 20,farmacia
104,GABETERO 3 GAVETA 25,farmacia
30,GABETERO 1 GAVETA 21,farmacia
35,GABETERO 1 GAVETA 22,farmacia
36,GABETERO 1 GAVETA 23,farmacia
37,GABETERO 1 GAVETA 24,farmacia
38,GABETERO 1 GAVETA 25,farmacia
39,GABETERO 1 GAVETA 26,farmacia
40,GABETERO 1 GAVETA 27,farmacia
41,GABETERO 1 GAVETA 28,farmacia
42,GABETERO 1 GAVETA 29,farmacia
43,GABETERO 1 GAVETA 30,farmacia
44,GABETERO 1 GAVETA 31,farmacia
45,GABETERO 1 GAVETA 32,farmacia
46,GABETERO 1 GAVETA 33,farmacia
47,GABETERO 2 GAVETA 1,farmacia
48,GABETERO 2 GAVETA 2,farmacia
49,GABETERO 2 GAVETA 3,farmacia
50,GABETERO 2 GAVETA 4,farmacia
51,GABETERO 2 GAVETA 5,farmacia
52,GABETERO 2 GAVETA 6,farmacia
53,GABETERO 2 GAVETA 7,farmacia
54,GABETERO 2 GAVETA 8,farmacia
55,GABETERO 2 GAVETA 9,farmacia
56,GABETERO 2 GAVETA 11,farmacia
57,GABETERO 2 GAVETA 12,farmacia
58,GABETERO 2 GAVETA 10,farmacia
59,GABETERO 2 GAVETA 13,farmacia
60,GABAETERO 2 GAVETA 14,farmacia
61,GABETERO 2 GAVETA 15,farmacia
62,GABETERO 2 GAVETA 16,farmacia
63,GABETERO 2 GAVETA 17,farmacia
65,GABETERO 2 GAVETA 18,farmacia
64,GABETERO 2 GAVETA 19,farmacia
66,GEBETERO 2 GAVETA 20,farmacia
67,GABETERO 2 GAVETA 21,farmacia
68,GABETERO 2 GAVETA 22,farmacia
69,GABETERO 2 GAVETA 23,farmacia
70,GABETERO 2 GAVETA 24,farmacia
71,GABETERO 2 GAVETA 25,farmacia
72,GABETERO 2 GAVETA 26,farmacia
73,GABETERO 2 GAVETA 27,farmacia
74,GABETERO 2 GAVETA 28,farmacia
75,GABETERO 2 GAVETA 29,farmacia
76,GABETERO 2 GAVETA 30,farmacia
77,GABETERO 2 GAVETA 31,farmacia
78,GABETERO 2 GAVETA 32,farmacia
79,GABETERO 2 GAVETA 33,farmacia
80,GABETERO 3 GAVETA 1,farmacia
81,GABETERO 3 GAVETA 2,farmacia
82,GABETERO 3 GAVETA 3,farmacia
83,GABETERO 3 GAVETA 4,farmacia
84,GABETERO 3 GAVETA 5,farmacia
85,GABETERO 3 GAVETA 6,farmacia
86,GABETERO 3 GAVETA 7,farmacia
87,GABETERO 2 GAVETA 8,farmacia
88,GABETERO 3 GAVETA 9,farmacia
89,GABETERO 3 GAVETA 10,farmacia
90,GABETERO 3 GAVETA 11,farmacia
91,GABETERO 3 GAVETA 12,farmacia
92,GABETERO 3 GAVETA 13,farmacia
93,GABETERO 2 GAVETA 14,farmacia
94,GABETERO 3 GAVETA 15,farmacia
95,GABETERO 3 GAVETA 16,farmacia
96,GABETERO 3 GAVETA 17,farmacia
97,GABETERO 3 GAVETA 18,farmacia
98,GABETERO 3 GAVETA 19,farmacia
99,GABETERO 3 GAVETA 20,farmacia
100,GABETERO 3 GAVETA 21,farmacia
101,GABETERO 3 GAVETA 22,farmacia
102,GABETERO 3 GAVETA 23,farmacia
103,GABETERO 3 GAVETA 24,farmacia
105,GABETERO 3 GAVETA 25,farmacia
106,GABETERO 3 GAVETA 26,farmacia
107,GABETERO 3 GAVETA 27,farmacia
108,GABETERO 3 GAVETA 28,farmacia
109,GABETERO 3 GAVETA 29,farmacia
111,GABETERO 3 GAVETA 30,farmacia
112,GABETERO 3 GAVETA 31,farmacia
113,GABETERO 3 GAVETA 32,farmacia
114,GABETERO 3 GAVETA 33,farmacia
115,MOSTRADOR ENTREPAÑO 1,farmacia
116,MOSTRADOR ENTREPAÑO 2,farmacia
117,MOSTRADOR ENTREPAÑO 3,farmacia
118,MOSTRADOR ENTREPAÑO 4,farmacia
6,VITRINA ENTREPAÑO 1,farmacia
119,VITRINA ENTREPAÑO 2,farmacia
120,VITRINA ENTREPAÑO 3,farmacia
121,VITRINA ENTREPAÑO 4,farmacia
122,VITRINA ENTREPAÑO 5,farmacia
123,VITRINA ENTREPAÑO 6,farmacia
125,ESTANTERIA 1 ENTREPAÑO 1,farmacia
126,ESTANTERIA 1 ENTREPAÑO 2,farmacia
127,ESTANTERIA 1 ENTREPAÑO 3,farmacia
128,ESTANTERIA 1 ENTREPAÑO 4,farmacia
129,ESTANTERIA 1 ENTREPAÑO 5,farmacia
130,ESTANTERIA 1 ENTREPAÑO 6,farmacia
131,ESTANTERIA 1 ENTREPAÑO 7,farmacia
132,ESTANTERIA 2 ENTREPAÑO 1,farmacia
133,ESTANTERIA 2 ENTREPAÑO 2,farmacia
134,ESTANTERIA 2 ENTREPAÑO 3,farmacia
135,ESTANTERIA 2 ENTREPAÑO 3,farmacia
136,ESTANTERIA 2 ENTREPAÑO 4,farmacia
137,ESTANTERIA 2 ENTREPAÑO 5,farmacia
138,ESTANTERIA 2 ENTREPAÑO 6,farmacia
139,ESTANTERIA 2 ENTREPAÑO 7,farmacia
140,ESTANTERIA 3 ENTREPAÑO 1,farmacia
141,ESTANTERIA 3 ENTREPAÑO 2,farmacia
142,ESTANTERIA 3 ENTREPAÑO 3,farmacia
143,ESTANTERIA 3 ENTREPAÑO 4,farmacia
144,ESTANTERIA 3 ENTREPAÑO 5,farmacia
145,ESTANTERIA 3 ENTREPAÑO 6,farmacia
146,ESTANTERIA 4 ENTREPAÑO 1,farmacia
147,ESTANTERIA 4 ENTREPAÑO 2,farmacia
148,ESTANTERIA 4 ENTREPAÑO 2,farmacia
149,ESTANTERIA 4 ENTREPAÑO 3,farmacia
150,ESTANTERIA 4 ENTREPAÑO 4,farmacia
151,ESTANTERIA 4 ENTREPAÑO 5,farmacia
152,ESTANTERIA 4 ENTREPAÑO 6,farmacia
153,ESTANTETRIA 5,farmacia
154,COLGANTE 3,farmacia
155,CAJITA 1 GAVETA 1,farmacia
156,CAJITA 1 GAVETA 2,farmacia
157,CAJITA 1 GAVETA 3,farmacia
158,CAJITA 1 GAVETA 4,farmacia
159,CAJITA 1 GAVETA 5,farmacia
160,CAJITA 1 GAVETA 6,farmacia
161,CAJITA 2 GAVETA 1,farmacia
162,CAJITA 2 GAVETA 2,farmacia
163,CAJITA 2 GAVETA 3,farmacia
164,CAJITA 2 GAVETA 4,farmacia
165,CAJITA 2 GAVETA 5,farmacia
166,CAJITA 2 GAVETA 6,farmacia
167,CAJITA 3 GAVETA 1,farmacia
168,CAJITA 3 GAVETA 2,farmacia
169,CAJITA 3 GAVETA 3,farmacia
170,CAJITA 3 GAVETA 4,farmacia
171,CAJITA 3 GAVETA 5,farmacia
172,CAJITA 3 GAVETA 6,farmacia
173,CAJITA 4 GAVETA 1,farmacia
174,CAJITA 4 GAVETA 2,farmacia
175,CAJITA 4 GAVETA 3,farmacia
176,CAJITA 4 GAVETA 4,farmacia
177,CAJITA 4 GAVETA 5,farmacia
178,CAJITA 4 GAVETA 6,farmacia
179,CAJITA 5 GAVETA 1,farmacia
180,CAJITA 5 GAVETA 2,farmacia
181,CAJITA 5 GAVETA 3,farmacia
182,CAJITA 5 GAVETA 4,farmacia
183,CAJITA 5 GAVETA 5,farmacia
184,CAJITA 5 GAVETA 6,farmacia
185,CAJITA 6 GAVETA 1,farmacia
186,CAJITA 6 GAVETA 2,farmacia
187,CAJITA 6 GAVETA 3,farmacia
188,CAJITA 6 GAVETA 4,farmacia
189,CAJITA 6 GAVETA 5,farmacia
190,CAJITA 6 GAVETA 6,farmacia
191,CAJITA 7 GAVETA 1,farmacia
192,CAJITA 7 GAVETA 2,farmacia
193,CAJITA 7 GAVETA 3,farmacia
194,CAJITA 7 GAVETA 4,farmacia
195,CAJITA 7 GAVETA 5,farmacia
196,CAJITA 7 GAVETA 6,farmacia
197,CAJITA 8 GAVETA 1,farmacia
198,CAJITA 8 GAVETA 2,farmacia
199,CAJITA 8 GAVETA 3,farmacia
200,CAJITA 8 GAVETA 4,farmacia
201,CAJITA 8 GAVETA 5,farmacia
202,CAJITA 8 GAVETA 6,farmacia
203,CAJITA 9 GAVETA 1,farmacia
204,CAJITA 9 GAVETA 2,farmacia
205,CAJITA 9 GAVETA 3,farmacia
206,CAJITA 9 GAVETA 4,farmacia
207,CAJITA 9 GAVETA 5,farmacia
208,CAJITA 9 GAVETA 6,farmacia
209,BODEGA,bodega
210,PENDIENTE,Lugar
